Date,Open,High,Low,Close,Volume
8/21/2023,153.91,153.99,152.31,152.54,849508
8/22/2023,152.99,153.07,151.63,151.98,796388
8/23/2023,152,153.44,152,152.92,623464
8/24/2023,152.94,153.27,151.55,151.7,1073308
8/25/2023,152.2,153.54,151.73,152.98,788418
8/28/2023,153.64,154.46,152.51,152.67,1627242
8/29/2023,152.5,153.58,151.9,153.2,1036679
8/30/2023,153.5,155.26,153.43,154.32,1004357
8/31/2023,154.41,154.72,152.01,152.2,2910358
9/1/2023,152.85,154.06,152.09,153.91,1905910
9/5/2023,153.61,154.16,151.75,151.91,1453882
9/6/2023,151.55,152.1,149.14,149.29,1303844
9/7/2023,148,149.72,147.08,147.34,2234020
9/8/2023,147.09,148.26,146.25,147.15,1746705
9/11/2023,147.47,148.9,147.12,148.34,1396589
9/12/2023,148.13,149.14,147.3,148.27,675311
9/13/2023,148.4,150.95,147.82,150.86,1119710
9/14/2023,152.28,156.71,151.73,156.16,2082098
9/15/2023,155.89,157.8,155.45,157.48,4443737
9/18/2023,157.2,157.46,155.75,156.17,1148435
9/19/2023,155.5,156.17,152.12,152.72,1009813
9/20/2023,153.33,154.18,152.4,152.58,759258
9/21/2023,151.63,152.48,148.39,148.58,1319742
9/22/2023,148.65,148.74,147.57,148.52,1178359
9/25/2023,147.81,150.53,147.81,150.1,830186
9/26/2023,149.55,150.07,148.28,149.48,2442890
9/27/2023,149.87,150.34,144.98,146.74,1747632
9/28/2023,146.17,149.09,145.79,147.96,2253086
9/29/2023,149.43,149.5,146.26,147.09,1481367
10/2/2023,146.99,148.06,144.94,145.46,1359885
10/3/2023,144.6,146.88,143.99,145.44,1111020
10/4/2023,145.35,147.04,145.12,146.27,708244
10/5/2023,145.16,146.89,145.01,146.2,1145680
10/6/2023,145.73,146.87,145.01,146.35,807222
10/10/2023,147.4,149.06,146.63,147.66,929932
10/11/2023,148.36,148.57,147.54,148.39,830969
10/12/2023,148.38,148.5,146.39,147.5,880679
10/13/2023,147.97,148.7,146.34,147.15,820927
10/16/2023,147.82,149.74,147.02,148.9,1240210
10/17/2023,148.07,149.41,148.01,148.58,803679
10/18/2023,147.86,147.91,144.42,144.51,1028135
10/19/2023,145.49,145.66,143.83,144.12,1279017
10/20/2023,143.56,146.08,143.13,145.93,1690194
10/23/2023,145.05,146.76,144.68,144.73,753778
10/24/2023,145,146.08,144.15,144.99,784579
10/25/2023,143.16,148.61,143.16,146.57,827104
10/26/2023,146.76,149.37,144.53,144.65,884433
10/27/2023,145.14,145.98,144.23,145.05,1054821
10/30/2023,145.78,147.97,145.68,146.54,1077992
10/31/2023,147.18,147.45,145.98,146.73,1046710
11/1/2023,146.78,148.82,146.78,147.93,751450
